code,(全部)
,
行标签,求和项:price
10月19日,3947.1373
10月20日,3942.6317
10月23日,3946.7097
10月24日,3975.4216
10月25日,3993.1386
10月26日,4009.8455
10月27日,4038.402
10月30日,4026.1557
10月31日,4023.1481
11月1日,4012.9895
11月2日,4013.5031
11月3日,4009.1189
11月6日,4037.6678
11月7日,4071.1149
11月8日,4064.7243
11月9日,4092.837
11月10日,4129.1968
11月13日,4145.5434
11月14日,4116.5869
11月15日,4090.862
11月16日,4122.547
11月17日,4138.1892
11月20日,4161.392
11月21日,4235.5746
11月22日,4245.2103
11月23日,4119.2738
11月24日,4121.0022
11月27日,4066.4542
11月28日,4072.5269
11月29日,4070.3774
11月30日,4022.4098
12月1日,4014.5034
12月4日,4035.48
12月5日,4056.749
12月6日,4032.2913
12月7日,3987.2597
12月8日,4019.9002
12月11日,4086.4785
12月12日,4032.8193
12月13日,4067.1152
12月14日,4043.0936
12月15日,3997.6001
12月18日,4002.0855
12月19日,4052.3673
12月20日,4047.5463
12月21日,4085.1724
12月22日,4071.8769
总计,190694.0309
