日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交额(百万),成交量(股)
2012-06-26,1,1,1,1,0,0
2012-06-29,1,1,1,1,0,0
2012-06-30,1,1,1,1,0,0
2012-07-06,1.001,1.001,1.001,1.001,0,0
2012-07-13,1.001,1.001,1.001,1.001,0,0
2012-07-20,1,1,1,1,0,0
2012-07-27,0.997,0.997,0.997,0.997,0,0
2012-07-30,0.995,0.995,0.995,0.995,0,0
2012-07-31,0.991,0.991,0.991,0.991,0,0
2012-08-01,1.001,1.001,1.001,1.001,0,0
2012-08-02,0.997,0.997,0.997,0.997,0,0
2012-08-03,1.009,1.009,1.009,1.009,0,0
2012-08-06,1.023,1.023,1.023,1.023,0,0
2012-08-07,1.025,1.025,1.025,1.025,0,0
2012-08-08,1.022,1.022,1.022,1.022,0,0
2012-08-09,1.037,1.037,1.037,1.037,0,0
2012-08-10,1.028,1.028,1.028,1.028,0,0
2012-08-13,1.013,1.013,1.013,1.013,0,0
2012-08-14,1.016,1.016,1.016,1.016,0,0
2012-08-15,1.008,1.008,1.008,1.008,0,0
2012-08-16,1.002,1.002,1.002,1.002,0,0
2012-08-17,0.997,0.997,0.997,0.997,0,0
2012-08-20,0.995,0.995,0.995,0.995,0,0
2012-08-21,1.006,1.006,1.006,1.006,0,0
2012-08-22,0.999,0.999,0.999,0.999,0,0
2012-08-23,1.002,1.002,1.002,1.002,0,0
2012-08-24,0.992,0.992,0.992,0.992,0,0
2012-08-27,0.975,0.975,0.975,0.975,0,0
2012-08-28,0.972,0.972,0.972,0.972,0,0
2012-08-29,0.964,0.964,0.964,0.964,0,0
2012-08-30,0.955,0.955,0.955,0.955,0,0
2012-08-31,0.958,0.958,0.958,0.958,0,0
2012-09-03,0.972,0.972,0.972,0.972,0,0
2012-09-04,0.965,0.965,0.965,0.965,0,0
2012-09-05,0.965,0.965,0.965,0.965,0,0
2012-09-06,0.97,0.97,0.97,0.97,0,0
2012-09-07,1.004,1.004,1.004,1.004,0,0
2012-09-10,1.008,1.008,1.008,1.008,0,0
2012-09-11,1.005,1.005,1.005,1.005,0,0
2012-09-12,1.008,1.008,1.008,1.008,0,0
2012-09-13,0.999,0.999,0.999,0.999,0,0
2012-09-14,1.001,1.001,1.001,1.001,0,0
2012-09-17,0.978,0.978,0.978,0.978,0,0
2012-09-18,0.972,0.972,0.972,0.972,0,0
2012-09-19,0.975,0.975,0.975,0.975,0,0
2012-09-20,0.953,0.953,0.953,0.953,0,0
2012-09-21,0.952,0.952,0.952,0.952,0,0
2012-09-24,0.961,0.961,0.961,0.961,0,0
2012-09-25,0.96,0.96,0.96,0.96,0,0
2012-09-26,0.947,0.947,0.947,0.947,0,0
2012-09-27,0.969,0.969,0.969,0.969,0,0
2012-09-28,0.987,0.987,0.987,0.987,0,0
2012-09-30,0.987,0.987,0.987,0.987,0,0
2012-10-08,0.979,0.979,0.979,0.979,0,0
2012-10-09,1.003,1.003,1.003,1.003,0,0
2012-10-10,1.006,1.006,1.006,1.006,0,0
2012-10-11,0.998,0.998,0.998,0.998,0,0
2012-10-12,0.996,0.996,0.996,0.996,0,0
2012-10-15,0.996,0.996,0.996,0.996,0,0
2012-10-16,1,1,1,1,0,0
2012-10-17,0.998,0.998,0.998,0.998,0,0
2012-10-18,1.014,1.014,1.014,1.014,0,0
2012-10-19,1.014,1.014,1.014,1.014,0,0
2012-10-22,1.021,1.021,1.021,1.021,0,0
2012-10-23,1.006,1.006,1.006,1.006,0,0
2012-10-24,1.004,1.004,1.004,1.004,0,0
2012-10-25,0.995,0.995,0.995,0.995,0,0
2012-10-26,0.979,0.979,0.979,0.979,0,0
2012-10-29,0.981,0.981,0.981,0.981,0,0
2012-10-30,0.98,0.98,0.98,0.98,0,0
2012-10-31,0.982,0.982,0.982,0.982,0,0
2012-11-01,0.995,0.995,0.995,0.995,0,0
2012-11-02,0.998,0.998,0.998,0.998,0,0
2012-11-05,0.996,0.996,0.996,0.996,0,0
2012-11-06,0.987,0.987,0.987,0.987,0,0
2012-11-07,0.984,0.984,0.984,0.984,0,0
